﻿등급,회원사,홈페이지,지역,사업장도로명주소,주요업종(국민연금 신고),고용현황(국민연금 가입자),매출액(억원),매출연도,주요제품,부설연구소,출처,비고
부회장사,훌루테크(주),http://www.flutek.co.kr,경남 창원시,경상남도 창원시 성산구 공단로98번길,유압 기기 제조업,72,2447,2024,"건설기계·선박용 유압기기(펌프·모터·밸브), 조향장치 등 모션컨트롤 시스템",유,"국민연금('26.5) ｜ [조사] WebSearch/사람인 (2024년 2,447억). 일본 가와사키(KPM) 기술제휴 유압기기 전문. 기술연구소 2002년 9월 설립 → 부설연구소 유. (사람인 일부 페이지의 3,548억은 추정·빅데이터값으로 보여 2,447억 채택)",CSV 고용 72명은 국민연금 일부치로 보이며 실제 약 179명. 매출규모상 건설기계 유압 핵심 수요기업.
이사사,한국건설기계연구원,http://www.koceti.re.kr,전북 군산시,전북특별자치도 군산시 산단로,기타 공학 연구개발업,107,,,건설기계 시험인증·연구개발(R&D) 기관 — 기타 공학 연구개발업,유,국민연금('26.5) ｜ [조사] koceti.re.kr. 영리 수요기업이 아닌 건설기계 전문 연구개발·인증기관(기관 자체가 연구원). 매출 개념 부적용(공개 매출 없음). CSV '107'은 매출이 아니라 국민연금 가입 인원(직원수).,수요기업이 아닌 협회 이사사·전문연구기관. 기관 성격상 매출 공란 처리.
이사사,건영테크(주),http://WWW.KUNYOUNGTECH.COM,경남 창원시,경상남도 창원시 성산구 완암로,금속 절삭기계 제조업,86,314,2022,"건설기계 출입문 잠금장치(국내 1위)·연료캡/우레아캡, 중장비용 절삭가공 부품·내외장 서브어셈블리",불명,"국민연금('26.5) ｜ [조사] 매출: 경남도민일보/knnews(2019년 180억→2022년 314억), 캐치(catch.co.kr/486880); 홈페이지(kunyoungtech.com) 인증서 만료로 연구소 확인 불가","확인요(동명 3법인) ｜ 동명 3법인 중 창원 성산구 절삭가공 법인으로 매칭(고용 86명, 매출규모 일치). 홈페이지 접속 불가로 부설연구소 불명."
이사사,(주)건화,http://www.kunhwamc.com,경남 거제시,경상남도 거제시 연초면 연하해안로,선박 구성 부분품 제조업,111,3204,2023,"선박 구성부품(선수미블록·거구주·철의장재·초대형 조선블록), 건설기계용 제관부품(볼보·HD현대건설기계·두산인프라코어 협력)",불명,"국민연금('26.5) ｜ [조사] 매출: 사람인(saramin.co.kr, csn .../건화) 3,204억8,481만원·직원 107명; 제품: kunhwamc.com 회사소개. 홈페이지 SSL 인증서 오류로 연구소 메뉴 확인 불가","확인요(동명 2법인,상호 짧음) ｜ 거제 연초면 선박부품 법인으로 매칭(고용 111≈107). 일부 검색은 4,126억(2023, 연결 추정)도 표기하나 사람인 단독 표기값 채택."
이사사,대창단조(주),http://www.dcf.co.kr,경남 김해시,경상남도 김해시 생림면 봉림로,금속 단조제품 제조업,78,3222,2024,"단조 가공품(크랭크샤프트·트랙링크 조립체·커넥팅로드·중장비 롤러류), 자동차·중장비용 단조부품",유,"국민연금('26.5) ｜ [조사] 매출: 코스피 상장(A015230) 홈페이지 재무정보(dcf.co.kr/kr/financial.php) 2024년 3,222억; 연구소: 디지털김해문화대전·위키 '기업부설 DCF기술연구소(2004 설립)'",코스피 상장사. 홈페이지 dcf.co.kr 일부 페이지 404이나 재무/문화대전 자료로 확인.
이사사,동해기계(주),http://www.donghae.co.kr,경남 함안군,경상남도 함안군 칠서면 공단서길,그 외 자동차용 신품 부품 제조업,110,,,"굴착기 등 중장비 부품(붐·암·버킷·블레이드·프레임·아웃트리거), 플랜트 솔루션(압력용기·열교환기·저장탱크)",유,"국민연금('26.5) ｜ [조사] 제품·연구소: 홈페이지(donghae.co.kr/ko, 기술연구소 보유)·komachine.com(Technology Research Institute, CAT·Volvo·HD현대 Tier1). 비상장 비외감으로 공개 매출 없음(나이스/사람인 미공개)",함안 칠서면 중장비부품 법인. 동명의 '동해산업·동해기계항공(dhcrane)'과 별개 — 혼동 주의. 공개 매출 미확인.
이사사,(주)디컴,,경기 화성시,경기도 화성시 만세구 송산면 송산포도로307번길,상품 종합 도매업,26,153,2023,두산인프라코어(HD현대인프라코어) 1차 협력 엔진부품 가공(con-rod assy·cyl-head 등 중장비/엔진 부품),불명,국민연금('26.5) ｜ [조사] 매출: 사람인(saramin .../디컴) 2023년 153억900만원·직원 28명; 잡코리아/인크루트. 홈페이지 없음(CSV 공란)으로 부설연구소 확인 불가,확인요(상호 짧음) ｜ 화성 송산면 법인으로 매칭(고용 26≈28). 도매업 분류이나 실제 엔진부품 가공 협력사. 홈페이지 부재로 연구소 불명.
이사사,두산모트롤(주),http://www.doosanmottrol.com/kr,경남 창원시,경상남도 창원시 성산구 완암로,유압 기기 제조업,205,1553,2024,"건설/산업기계용 유압기기(굴착기·크롤러크레인·크라샤·지게차·트랙터용 유압 구성품), E-drive(미래사업)",불명,"국민연금('26.5) ｜ [조사] 매출: 인크루트/나이스비즈인포(QP3250) 별도 2024년 1,553억4,303만원(연결 약 2,095억); 제품: doosanmottrol.com/kr. 홈페이지 R&D 메뉴 접근 불가로 연구소 표기 미확인","2024년 두산밥캣이 2,460억에 재인수해 두산모트롤 재출범. 별도 1,553억/연결 2,095억. 홈페이지상 연구소 명시 미확인으로 불명."
이사사,(주)삼우테크,http://www.sw-tc.com,인천 남동구,인천광역시 남동구 남동서로,그 외 자동차용 신품 부품 제조업,26,223,2025,건설중장비(굴삭기/지게차)용 트랙스프링 등 언더캐리지 부품,불명,"국민연금('26.5) ｜ [조사] 잡코리아/사람인/비즈OK(bizok.incheon.go.kr ofc_key=1847): 인천 남동구, 트랙스프링, 2025 매출 223억(전년比+16%), 종업원 약39~50명. 홈페이지 sw-tc.com 인증서 오류로 연구소 표기 미확인",확인요(동명 8법인) ｜ 동명 8법인 중 인천 남동구 트랙스프링(중장비 언더캐리지) 제조사로 매칭 — 협회 회원사 업종 부합
이사사,선진정공(주),http://www.sunjin21.co.kr,충남 당진시,충청남도 당진시 신평면 신평길,산업용 냉장 및 냉동장비 제조업,144,871,2023,"굴삭기·휠로더 부품 및 휠굴삭기/휠로더 완제품 조립생산(계열: 특장차, 건설중장비용 감속기)",무,"국민연금('26.5) ｜ [조사] 사람인/잡코리아/캐치(CC1660): 충남 당진, 2023 매출 871억. 홈페이지 sunjin21.co.kr: 굴삭기·휠로더 부품/완제품 명시, 부설연구소 표기 없음(선진파워테크 자체 연구개발 언급뿐)",확인요(동명 3법인) ｜ 상용차신문(cvinfo.com) 보도상 부도·기업회생절차 착수 이력 있음 — 매출 변동 가능성
이사사,(주)성보,http://www.sbic.co.kr,인천 서구,인천광역시 서구 장고개로,그 외 자동차용 신품 부품 제조업,127,651,2024,"굴삭기용 내마모·내충격 특수주물(언더캐리지 스프라켓, 투스 등) 건설중장비 주물부품",불명,"국민연금('26.5) ｜ [조사] 사람인/캐치(389650)/원티드/나이스비즈인포: 인천 서구 장고개로, 매출 약651억, 종업원125명, 업력29년. 사명은 성보공업(주)(homepage sbic.co.kr 동일). 홈페이지 자가서명 인증서 오류로 연구소 표기 미확인","확인요(동명 6법인,상호 짧음) ｜ CSV (주)성보 = 성보공업(주), 홈페이지 sbic.co.kr 일치. 동명 6법인 중 인천 서구 건설중장비 주물사로 매칭"
이사사,성원하이드로릭스(주),http://www.sungwonhyd.com,경기 안산시,경기도 안산시 단원구 능안로,금속 문  창  셔터 및 관련제품 제조업,56,210,2024,건설중장비용 유압실린더·유압파이프·탱크(두산인프라코어/HD현대 1차 협력사),불명,"국민연금('26.5) ｜ [조사] 잡코리아/캐치(279267): 경기 안산 단원구, 2024 매출 약209.5억(전년比-10%). 홈페이지 sungwonhyd.com 자가서명 인증서 오류로 연구소 표기 미확인",잡플래닛의 2013년 160억은 과거치 — 최신은 2024 약210억 채택
이사사,(주)수산세보틱스,https://soosancebotics.com/,경기 화성시,경기도 화성시 만세구 양감면 정문송산로,건설 및 채광용 기계장비 제조업,136,2294,2025,"유압브레이커 등 굴착기 어태치먼트, 크레인·유압드릴·벌크트레일러 등 특수장비",불명,"국민연금('26.5) ｜ [조사] FnGuide(A017550)/사람인: 경기 화성, 연결매출 2024 1,979억→2025 2,294억(+16%). 코스피 상장사(017550). 홈페이지 soosancebotics.com에 연구소 명시 미확인","구 수산중공업, 상장사라 연결매출 기준 신뢰도 높음"
이사사,(주)신라정밀,http://www.shillacorp.co.kr,충남 천안시,충청남도 천안시 동남구 수신면 수신로,기어 및 동력전달장치 제조업,194,748,2024,"기어·동력전달장치, 굴착기/크레인/풍력용 슬루잉 베어링(선회베어링), 풀리 등",불명,"국민연금('26.5) ｜ [조사] 인크루트/잡코리아/사람인: 충남 천안 동남구 수신면, 2024 매출 748억4,356만원, 종업원220명. 홈페이지 shillacorp.co.kr 인증서 오류로 연구소 표기 미확인",확인요(동명 2법인) ｜ 동명 2법인 중 천안 수신면 기어/베어링 제조사로 매칭. 웹검색의 '760.3 billion won'은 760억 오기 — 748억(2024 실적) 채택
이사사,유한회사 신일정밀,https://shinil-brg.com/,강원 강릉시,강원특별자치도 강릉시 강변로,기어 및 동력전달장치 제조업,97,274,2025,"산업용 선회베어링(슬루잉링), 풍력발전기·해양구조물용 대형 베어링·구조부품",불명,"국민연금('26.5) ｜ [조사] 인크루트 기업정보(매출 274억9,660만/2025, 2024 236억, 2023 309억), 강원도민일보 50주년 기사. 홈페이지(shinil-brg.com) DNS 접속불가로 연구소 표기 직접확인 불가; 인크루트는 측정실 보유 언급(부설연구소 명시 아님)이라 불명 처리. https://www.incruit.com/company/4832925/","확인요(동명 2법인) ｜ 1976년 설립, 강릉 향토기업. 동명 2법인 플래그 있으나 강릉 선회베어링 제조사로 매칭 확실."
이사사,(주)에스틸,http://www.ssteel.co.kr,인천 서구,인천광역시 서구 북항로363번길,금속선 가공제품 제조업,96,,,금속선 가공제품(와이어 가공류 추정),불명,국민연금('26.5) ｜ [조사] 홈페이지(ssteel.co.kr) 인증서 오류로 접속불가. 사람인·산군 검색의 (주)에스틸은 업종이 '건설·채광용 기계장비 제조업'(매출 492억/2025)으로 CSV의 '금속선 가공제품 제조업·인천 서구'와 업종 불일치 → 동일법인 확신 불가하여 매출 공란.,확인요(상호 짧음) ｜ 비고 '상호 짧음' 플래그. 인천 서구 북항로·금속선가공 법인과 검색결과(건설기계장비 제조) 업종이 달라 저신뢰. 매출 미확정.
이사사,㈜오성기공,http://www.oscai.co.kr,경북 경산시,경상북도 경산시 자인면 자인공단2로4길,일반 철물 제조업,21,,,건설기계용 굴삭기 상·하부 메인프레임(건설기계 FRAME),불명,"국민연금('26.5) ｜ [조사] 홈페이지 oscai.co.kr (건설기계 FRAME 제품, 굴삭기 상·하부 MAIN FRAME 제조, 경산 자인공단). 잡코리아 42106724의 '오성기공'(매출 590억/2025, 75명)은 업종이 '산업기계(발전기)·유공압·선박부품'으로 홈페이지(건설기계 프레임)와 불일치 → 동명 2법인으로 판단해 매출 미적용.","확인요(동명 2법인) ｜ 비고 '동명 2법인' 플래그. CSV는 직원 21명·굴삭기 프레임 제조사인데, 공개 매출(590억)은 75명·산업기계/선박 법인 것이라 매칭 불가. 건설기계 프레임 법인의 매출은 미확인."
이사사,전진건설로봇(주),http://www.junjin.com,충북 음성군,충청북도 음성군 금왕읍 대금로,트레일러 및 세미 트레일러 제조업,199,1907,2025,"콘크리트 펌프카(CPC), 플레이싱붐, 스테이셔너리, 어태치먼트, 자율·원격 콘크리트 분배로봇(D-MCR)",불명,"국민연금('26.5) ｜ [조사] 네이트뉴스/더스탁(연결 매출 1,907억/2025, 전년比 +12.3%), 코스닥 상장사(079900). 홈페이지(junjin.com)에 '연구개발' 메뉴는 있으나 부설연구소·기술연구소 명칭 명시 없어 불명 처리. https://www.junjin.com/","콘크리트펌프카 국내 점유율 1위, 매출 대부분 해외(북미46%). 상장사라 매출 신뢰 높음."
이사사,(주)제트에프코리아,http://aftermarket.zf.com,인천 부평구,인천광역시 부평구 평천로,건설 및 채광용 기계장비 제조업,39,606,2024,ZF그룹 애프터마켓 부품(승용·트럭·버스·건설장비·선박·산업기계용) 국내 유통,무,"국민연금('26.5) ｜ [조사] 사람인 기업정보(매출 606억6,913만/2024, 42명), 잡코리아(409억은 과거연도). 독일 ZF그룹 한국 애프터마켓 유통 자회사(1990 설립). 유통·서비스 법인으로 부설연구소 없음. https://www.saramin.co.kr/zf_user/company-info/view/csn/NGJ3L3ZvVnFPbEZMNjNLVVowVnJpZz09",건설장비 부품 애프터마켓 유통. 제조 아닌 유통법인이라 연구소 무.
이사사,천일테크윈(주),http://www.chuniltechwin.com,인천 동구,인천광역시 동구 화도진로,트레일러 및 세미 트레일러 제조업,63,236,2024,"트레일러·세미트레일러, 차량부속(특장 차량부품)",불명,"국민연금('26.5) ｜ [조사] 사람인/잡코리아 기업정보(매출 236억6,807만, 71명). 인천 동구 화도진로 소재, 1989년 설립. 홈페이지(chuniltechwin.com) 연구소 표기 미확인이라 불명. https://www.jobkorea.co.kr/recruit/co_read/c/chun1001",트레일러·세미트레일러 제조. 매출 연도는 최신 공개기준(2024 추정).
이사사,(주)태원인더스트리,http://www.taewonltd.com,인천 남동구,인천광역시 남동구 능허대로577번길,유압 기기 제조업,24,79,2024,건설기계(굴삭기·지게차)용 유압호스 어셈블리 조립·납품 (두산인프라코어 협력사),불명,국민연금('26.5) ｜ [조사] 매출: saramin 2024 재무정보 79억; 제품: 잡코리아/bizno; 홈페이지(taewonltd.com) 접속불가로 연구소 여부 불명,"홈페이지 ECONNREFUSED, 직원 24~29명 소기업"
이사사,(주)태화정공,http://www.tpi.co.kr,충남 당진시,충청남도 당진시 송악읍 조비실길,그 외 자동차용 신품 부품 제조업,52,458,2024,"굴삭기·농기계 운전실(캐빈), 대형지게차 OEM, 건설중장비용 정밀 제관모듈 부품",유,"국민연금('26.5) ｜ [조사] 매출: saramin 국민연금기준 457.9억(직원 51명과 일치, 기업자체입력 630억은 별도); 제품·연구소: 홈페이지 taehwa21.com(부설연구소 1999.2 설립)",확인요(동명 2법인) ｜ CSV의 tpi.co.kr 홈페이지는 오기(실제 taehwa21.com). 동명 2법인 중 당진 캐빈 제조사로 확정
이사사,(주)테스크,http://tesk.co.kr/html/,경북 김천시,경상북도 김천시 어모면 산업단지로,그 외 자동차용 신품 부품 제조업,50,387,2024,"차량용 매연저감장치(DPF 등) 배기계 부품, 금속압형제품, 농업용기계",유,"국민연금('26.5) ｜ [조사] 매출: saramin 387.8억(2024); 제품·연구소: 새김천신문 기업탐방(기업부설연구소·벤처·뿌리기술전문기업, 특허 23건). 2023년 매출 약420억","확인요(상호 짧음) ｜ 영문 Total Emission Solution Korea, 김천 어모면 확정"
이사사,(주)티시테크,http://www.tctech.co.kr,,,,,428,,"굴삭기·휠로더 등 건설중장비 완제품 및 부품, 후판교정기 등 철강가공설비, 용접·핸들링 자동화로봇",불명,"[조사] 사람인(매출 428억, 최신 기준·연도 미표기)·코머신(제품)·본사 경북 포항 남구 대송면. 홈페이지 tctech.co.kr 인증서 오류 미접속",국민연금 미매칭 ｜ 코머신상 연구소 표기 없음
이사사,(주)파카하니핀커넥터,http://www.parker.com/korea,경남 양산시,경상남도 양산시 유산공단4길,기타 화학 물질 및 화학제품 도매업,231,1353,2024,유압호스·호스피팅·튜브피팅·퀵커플러 등 유압 커넥터/피팅(건설중장비·조선해양 부품),불명,"국민연금('26.5) ｜ [조사] 매출: saramin 1,352억9,273만원; 제품: 잡코리아·디지털양산문화대전(Parker Hannifin Connectors, 1986 설립, 부산 제2공장). 홈페이지 parker.com 글로벌로 한국법인 연구소 표기 미확인",양산 소재 파카코리아 3개 법인 중 커넥터 법인. 직원 246명
이사사,(주)파카한일유압,http://www.parker.com,경기 시흥시,경기도 시흥시 공단1대로195번길,유압 기기 제조업,57,270,2025,"유압밸브·유압펌프 제조·도매(모바일 유압 솔루션, Parker Mobile Control Division Asia)",불명,국민연금('26.5) ｜ [조사] 매출: 잡코리아 269.7억(2025.6.30 회계연도 결산); 제품: parker.com 재무제표·코머신. 홈페이지 글로벌 사이트로 연구소 표기 미확인,"시흥 시화공단, 1976설립 구 한일유압→2005 파카한일유압. 직원 57명"
이사사,(주)프리엠스,http://www.freems.co.kr,경기 부천시,경기도 부천시 오정구 삼작로178번길,컴퓨터 제조업,35,231,2025,"중장비 전장품(컨트롤러 등), 네트워크 장비·금융단말기 EMS 제조",유,"국민연금('26.5) ｜ [조사] fnguide 재무(A053160, 2025/12 231억, 2024 177억), 부설연구소: 사람인 연혁 '2007.11 기업부설연구소 인정'",코스닥 상장사. 협회상 컴퓨터 제조업·고용 35명과 일치. 건설기계용 전장품 공급.
이사사,(주)한양정밀,http://www.hanyang-p.co.kr,경기 김포시,경기도 김포시 양촌읍 황금로89번길,그 외 자동차용 신품 부품 제조업,160,850,2024,"자동차 브레이크 부품(디스크·드럼·허브), 소형 굴삭기 및 굴삭기 부품·특장차 부품",불명,"국민연금('26.5) ｜ [조사] 원티드/사람인/커리어 (매출 757~850억 범위, 인원 165명) — 김포 양촌 한양정밀 일치. 홈페이지 SSL오류로 연구소 표기 미확인",출처별 매출 757억~850억 편차 있음. 협회 고용 160명과 인원 165명 일치하여 동일 법인 확정. lab 불명.
이사사,(주)해송엔지니어링,http://www.hae-song.co.kr/,충북 충주시,충청북도 충주시 주덕읍 주덕농공길,그 외 자동차용 신품 부품 제조업,67,366,2024,건설기계·자동차용 라디에이터·쿨링모듈(냉각시스템) 제조,불명,"국민연금('26.5) ｜ [조사] 사람인/잡코리아 (2024 매출 365.9억, 전년比 -25%). 홈페이지(hae-song.co.kr) SSL오류로 연구소 표기 미확인","본사 서울 성동구, 충주공장. 협회상 자동차용 신품부품·고용 67명."
이사사,(주)현대에버다임,http://www.everdigm.com,충북 진천군,충청북도 진천군 진천읍 부영길,기타 산업용 기계 및 장비 도매업,598,2896,2025,콘크리트펌프카·타워크레인·천공기·소방차·어태치먼트 등 중장비 완성차,유,"국민연금('26.5) ｜ [조사] fnguide 재무(A041440, 2025/12 2,896억, 2024 3,551억). 부설연구소: everdigm.com 회사소개 '중앙연구소·R&D센터', 연구개발인력 80여명",코스닥 상장(현대백화점그룹 계열). 수출비중 약 70%.
이사사,(주)흥국,http://www.heungkuk.net,충남 아산시,충청남도 아산시 둔포면 아산밸리로,금속 단조제품 제조업,90,1370,2025,굴착기·트랙로더용 언더캐리지 부품(트랙롤러·아이들러 등) 제조,유,"국민연금('26.5) ｜ [조사] fnguide 재무(A010240, 2025 1,370억, 2024 1,287억, 2023 1,494억). 부설연구소: heungkuk.net 'Technology Center / R&D' 섹션","확인요(상호 짧음) ｜ 코스닥 상장(010240). 아산 둔포, 볼보·현대건설기계 등 공급. 비고 '상호 짧음' 해당 — 동명 다수 중 건설기계 언더캐리지 흥국으로 확정."
감사,세안정기,http://www.e-sean.co.kr,경북 경산시,경상북도 경산시 압량읍 일연로115길,건설 및 채광용 기계장비 제조업,193,1191,2024,"현대건설기계 굴착기 OEM 조립생산, 건설·채광용 기계장비 부품",유,"국민연금('26.5) ｜ [조사] 사람인/잡코리아 (매출 1,191억, 직원 212명). 부설연구소: 세안정기 연혁 '2006.5 기업부설연구소 설립', INNOBIZ 인증","경산 압량, 현대건설기계 OEM 조립 2만대 달성. 협회 고용 193명과 근사."
일반회원사,댄포스코리아(주),https://www.danfoss.com/ko-kr/,부산 기장군,부산광역시 기장군 장안읍 의과학1로,유압 기기 제조업,164,1591,2024,"유압기기(굴삭기용 모터·조이스틱 등), 유압장치 제조·도소매 — 덴마크 Danfoss 한국 자회사",불명,"국민연금('26.5) ｜ [조사] catch.co.kr / wanted / saramin 기업정보 (2024 매출 1,591억). 홈페이지 danfoss.com 접속 불가로 부설연구소 표기 미확인",부산 기장 사업장(국민연금 164명)과 일치
정회원,(주)한국알앤드디,http://www.koreard.co.kr,경기 안산시,경기도 안산시 단원구 시화벤처로,알루미늄 주물 주조업,39,,,"자동차 파워트레인·산업용 엔진부품, 알루미늄 주조금형 설계·제작, 수소·전기차 구동부품 (홈페이지)",유,"국민연금('26.5) ｜ [조사] 홈페이지 koreard.co.kr (메뉴에 R&D센터·주요설비 명시 → 부설연구소 유). 매출액은 안산 법인(알루미늄 주물, 국민연금 39명)으로 확정 가능한 공개 수치 없음 — 초기 검색의 191억은 동명 (주)알앤알 부동산법인 수치 오인으로 제외","동명 다수, 안산 단원구 시화벤처로 법인 기준. 매출 미확인(저신뢰)"
정회원,우영산업(주),http://www.uyoungind.co.kr,경기 김포시,경기도 김포시 대곶면 대곶로,금속 절삭기계 제조업,63,294,2024,"톱기계·톱날 등 공작기계(금속 절삭기계) 제조·판매, 日 아마다(AMADA) 국내 독점 (브랜드 MAXS)",불명,"국민연금('26.5) ｜ [조사] 잡코리아 기업정보 (2024 매출 294.8억, 직원 약79명, 김포 대곶). 홈페이지 wymaxs.com — 연구소 표기 미확인","확인요(동명 4법인) ｜ 비고 '동명 4법인' — 김포 대곶 톱기계 제조법인(금속 절삭기계 제조업)으로 매칭. CSV 홈페이지 uyoungind.co.kr은 self-signed cert로 미접속, 실 운영은 wymaxs.com"
정회원,(주)대진유압기계,http://www.tecpos.com,부산 사상구,부산광역시 사상구 가야대로103번길,유압 기기 제조업,36,104,2023,"유압공구(초고압 RAM·펌프·실린더·유압펀칭기 등 200여종), 브랜드 TECPOS — 국내 유압공구 1위",유,국민연금('26.5) ｜ [조사] 홈페이지 tecpos.com 연혁(2006년 기업부설연구소 설립 명시 → 부설연구소 유). 잡코리아 기업정보 2023 매출 104억,"부산 사상구, INNO-BIZ·벤처기업 인증"
